store_id,product_id,current_stock,reorder_level,target_stock,last_restock_date,supplier_id
S001,P001,14,8,34,2026-08-30,SUP01
S001,P002,52,17,72,2026-08-29,SUP01
S001,P003,63,21,83,2026-08-28,SUP02
S001,P004,74,24,94,2026-08-27,SUP02
S001,P005,85,28,105,2026-08-26,SUP03
S001,P006,96,32,116,2026-08-25,SUP03
S001,P007,37,12,57,2026-08-24,SUP04
S001,P008,48,16,68,2026-08-23,SUP04
S001,P009,59,19,79,2026-08-22,SUP01
S001,P010,60,20,80,2026-08-21,SUP02
S001,P011,81,27,101,2026-08-20,SUP01
S001,P012,92,30,112,2026-08-19,SUP04
S001,P013,33,11,53,2026-08-18,SUP02
S001,P014,44,14,64,2026-08-17,SUP01
S001,P015,55,18,75,2026-08-16,SUP03
S001,P016,66,22,86,2026-08-15,SUP03
S001,P017,77,25,97,2026-08-14,SUP02
S001,P018,88,29,108,2026-08-31,SUP04
S001,P019,99,33,119,2026-08-30,SUP01
S001,P020,85,28,105,2026-08-29,SUP03
S001,P021,51,17,71,2026-08-28,SUP02
S001,P022,62,20,82,2026-08-27,SUP01
S001,P023,73,24,93,2026-08-26,SUP04
S001,P024,84,28,104,2026-08-25,SUP03
S001,P025,95,31,115,2026-08-24,SUP02
S001,P026,36,12,56,2026-08-23,SUP01
S001,P027,47,15,67,2026-08-22,SUP04
S001,P028,58,19,78,2026-08-21,SUP03
S001,P029,69,23,89,2026-08-20,SUP02
S001,P030,80,26,100,2026-08-19,SUP03
S001,P031,91,30,111,2026-08-18,SUP01
S001,P032,32,10,52,2026-08-17,SUP04
S001,P033,43,14,63,2026-08-16,SUP02
S001,P034,54,18,74,2026-08-15,SUP01
S001,P035,65,21,85,2026-08-14,SUP04
S001,P036,76,25,96,2026-08-31,SUP03
S001,P037,87,29,107,2026-08-30,SUP02
S001,P038,98,32,118,2026-08-29,SUP04
S001,P039,39,13,59,2026-08-28,SUP01
S001,P040,50,16,70,2026-08-27,SUP03
S002,P001,72,24,92,2026-08-29,SUP01
S002,P002,35,11,55,2026-08-28,SUP01
S002,P003,70,23,90,2026-08-27,SUP02
S002,P004,81,27,101,2026-08-26,SUP02
S002,P005,92,30,112,2026-08-25,SUP03
S002,P006,33,11,53,2026-08-24,SUP03
S002,P007,44,14,64,2026-08-23,SUP04
S002,P008,55,18,75,2026-08-22,SUP04
S002,P009,66,22,86,2026-08-21,SUP01
S002,P010,64,21,84,2026-08-20,SUP02
S002,P011,88,29,108,2026-08-19,SUP01
S002,P012,99,33,119,2026-08-18,SUP04
S002,P013,40,13,60,2026-08-17,SUP02
S002,P014,51,17,71,2026-08-16,SUP01
S002,P015,62,20,82,2026-08-15,SUP03
S002,P016,73,24,93,2026-08-14,SUP03
S002,P017,84,28,104,2026-08-31,SUP02
S002,P018,95,31,115,2026-08-30,SUP04
S002,P019,36,12,56,2026-08-29,SUP01
S002,P020,90,30,110,2026-08-28,SUP03
S002,P021,58,19,78,2026-08-27,SUP02
S002,P022,69,23,89,2026-08-26,SUP01
S002,P023,80,26,100,2026-08-25,SUP04
S002,P024,91,30,111,2026-08-24,SUP03
S002,P025,32,10,52,2026-08-23,SUP02
S002,P026,43,14,63,2026-08-22,SUP01
S002,P027,54,18,74,2026-08-21,SUP04
S002,P028,65,21,85,2026-08-20,SUP03
S002,P029,76,25,96,2026-08-19,SUP02
S002,P030,87,29,107,2026-08-18,SUP03
S002,P031,98,32,118,2026-08-17,SUP01
S002,P032,39,13,59,2026-08-16,SUP04
S002,P033,50,16,70,2026-08-15,SUP02
S002,P034,61,20,81,2026-08-14,SUP01
S002,P035,72,24,92,2026-08-31,SUP04
S002,P036,83,27,103,2026-08-30,SUP03
S002,P037,94,31,114,2026-08-29,SUP02
S002,P038,35,11,55,2026-08-28,SUP04
S002,P039,46,15,66,2026-08-27,SUP01
S002,P040,57,19,77,2026-08-26,SUP03
S003,P001,48,16,68,2026-08-28,SUP01
S003,P002,66,22,86,2026-08-27,SUP01
S003,P003,77,25,97,2026-08-26,SUP02
S003,P004,240,80,260,2026-08-25,SUP02
S003,P005,99,33,119,2026-08-24,SUP03
S003,P006,40,13,60,2026-08-23,SUP03
S003,P007,51,17,71,2026-08-22,SUP04
S003,P008,62,20,82,2026-08-21,SUP04
S003,P009,73,24,93,2026-08-20,SUP01
S003,P010,68,22,88,2026-08-19,SUP02
S003,P011,95,31,115,2026-08-18,SUP01
S003,P012,36,12,56,2026-08-17,SUP04
S003,P013,47,15,67,2026-08-16,SUP02
S003,P014,58,19,78,2026-08-15,SUP01
S003,P015,69,23,89,2026-08-14,SUP03
S003,P016,80,26,100,2026-08-31,SUP03
S003,P017,91,30,111,2026-08-30,SUP02
S003,P018,32,10,52,2026-08-29,SUP04
S003,P019,43,14,63,2026-08-28,SUP01
S003,P020,95,31,115,2026-08-27,SUP03
S003,P021,65,21,85,2026-08-26,SUP02
S003,P022,76,25,96,2026-08-25,SUP01
S003,P023,87,29,107,2026-08-24,SUP04
S003,P024,98,32,118,2026-08-23,SUP03
S003,P025,39,13,59,2026-08-22,SUP02
S003,P026,50,16,70,2026-08-21,SUP01
